1990,899
1991,1215
1992,876
1993,838
1994,651
1995,668
1996,981
1997,1439
1998,4016
1999,4730
2000,2977
2001,2720
2002,3049
2003,4526
2004,6867
2005,5535
2006,4433
2007,4824
2008,6682
2009,3413
2010,4334
2011,4558
2012,9087
2013,8930
2014,8260
2015,7921
2016,9375
2017,12219
